answer,clue
ABBA,"Aramaic for 'Father' (Mark 14:36)"
ABEL,"First shepherd and murder victim (Genesis 4:2)"
ABRA,"'Father of many' prefix (Genesis 17:4)"
ABRAM,"Original name of Abraham (Genesis 17:5)"
ACRE,"Land measure in Isaiah 5:10"
ADAM,"First man formed from dust (Genesis 2:7)"
AGAG,"Amalekite king spared by Saul (1 Samuel 15:9)"
AHAB,"Wicked king married to Jezebel (1 Kings 16:30)"
AHAZ,"King who sacrificed son in fire (2 Kings 16:3)"
AMEN,"'So be it' at prayer's end (Matthew 6:13)"
AMON,"Judah king slain by servants (2 Kings 21:23)"
AMOS,"Herdsman prophet of Tekoa (Amos 7:14)"
ARARAT,"Mount where ark rested (Genesis 8:4)"
ASHER,"Son of Jacob, tribe of bread (Genesis 49:20)"
ASIA,"Paul forbidden by Spirit (Acts 16:6)"
ATHENS,"Paul's Areopagus sermon city (Acts 17:22)"
BABYLON,"City of Nebuchadnezzar's golden image (Daniel 3:1)"
BAAL,"False god of rain and fertility (1 Kings 18:26)"
BALAAM,"Prophet with talking donkey (Numbers 22:28)"
BARNABAS,"'Son of encouragement' Levite (Acts 4:36)"
BARUCH,"Jeremiah's scribe (Jeremiah 36:4)"
BATHSHEBA,"Wife taken from Uriah (2 Samuel 11:3)"
BEERSHEBA,"Well where Abraham planted tamarisk (Genesis 21:33)"
BELSHAZZAR,"King who saw handwriting on wall (Daniel 5:1)"
BENJAMIN,"Youngest son, tribe of left-handers (Judges 20:16)"
BETHANY,"Village of Lazarus resurrection (John 11:1)"
BETHEL,"Jacob's ladder dream site (Genesis 28:19)"
BETHLEHEM,"City of David's birth (Micah 5:2)"
BEZALEL,"Tabernacle artisan filled with Spirit (Exodus 31:2)"
BOAZ,"Kinsman-redeemer of Ruth (Ruth 4:1)"
CAESAREA,"Cornelius baptized here (Acts 10:1)"
CAIN,"Firstborn who killed brother (Genesis 4:1)"
CALEB,"Spy who trusted God for Hebron (Numbers 14:24)"
CANA,"Wedding water-to-wine site (John 2:1)"
CAPERNAUM,"Jesus' adult hometown (Matthew 4:13)"
CEDAR,"Wood for Solomon's temple (1 Kings 5:6)"
CHERUBIM,"Guardians of Eden with flaming sword (Genesis 3:24)"
CORINTH,"Church with divisions and immorality (1 Corinthians 1:10)"
CUSH,"Land of Ham's son, often Ethiopia (Genesis 10:6)"
CYRUS,"Persian king who freed Jews (Ezra 1:1)"
DAMASCUS,"Saul's conversion road city (Acts 9:3)"
DAN,"Northern tribe, idol calf (Judges 18:29)"
DANIEL,"Interpreter of dreams in lion's den (Daniel 6:16)"
DAVID,"Shepherd king who slew Goliath (1 Samuel 17:50)"
DEBORAH,"Prophetess judge under palm (Judges 4:4)"
DELILAH,"Betrayer of Samson's strength (Judges 16:18)"
DEMETRIUS,"Silversmith riot leader in Ephesus (Acts 19:24)"
DIANA,"Artemis goddess of Ephesians (Acts 19:27)"
DORCAS,"Tabitha raised by Peter (Acts 9:36)"
EBEDMELECH,"Ethiopian who rescued Jeremiah (Jeremiah 38:7)"
EDEN,"Garden of four rivers (Genesis 2:10)"
EDOM,"Esau's descendant nation (Genesis 36:1)"
EGYPT,"Land of bondage and plagues (Exodus 1:11)"
EKRON,"Philistine city of Beelzebub (2 Kings 1:2)"
ELI,"Priest mentor of Samuel (1 Samuel 3:1)"
ELIJAH,"Prophet taken in whirlwind (2 Kings 2:11)"
ELISHA,"Successor who received double portion (2 Kings 2:9)"
ELIZABETH,"Mother of John the Baptist (Luke 1:5)"
EMMAUS,"Road where risen Jesus explained Scriptures (Luke 24:13)"
ENOCH,"Walked with God and was taken (Genesis 5:24)"
EPHESUS,"Church warned of losing first love (Revelation 2:4)"
EPHRAIM,"Joseph's son, fruitful tribe (Genesis 41:52)"
ESAU,"Hairy twin who sold birthright (Genesis 25:25)"
ESTHER,"Queen who saved Jews from Haman (Esther 7:3)"
ETHIOPIA,"Eunuch baptized by Philip (Acts 8:27)"
EVE,"Mother of all living (Genesis 3:20)"
EZRA,"Scribe who taught law (Ezra 7:10)"
FELIX,"Governor who trembled at Paul's preaching (Acts 24:25)"
FESTUS,"Successor governor to Felix (Acts 25:1)"
FIG,"Tree cursed by Jesus (Mark 11:13)"
GABBATHA,"Pavement where Pilate judged (John 19:13)"
GABRIEL,"Angel announcer to Mary (Luke 1:26)"
GAD,"Jacob's son, tribe of seers (Genesis 49:19)"
GALILEE,"Region of Jesus' ministry (Matthew 4:23)"
GATH,"Philistine city of Goliath (1 Samuel 17:4)"
GAZA,"Samson carried gates to hill (Judges 16:3)"
GEDALIAH,"Governor assassinated after fall of Jerusalem (2 Kings 25:25)"
GIDEON,"Judge who asked for dew on fleece (Judges 6:37)"
GILEAD,"Balm region (Jeremiah 8:22)"
GOLGOTHA,"Place of the skull crucifixion (Matthew 27:33)"
GOLIATH,"Giant slain by stone (1 Samuel 17:49)"
GOMER,"Hosea's unfaithful wife (Hosea 1:3)"
GOMORRAH,"City destroyed with Sodom (Genesis 19:24)"
HABAKKUK,"Prophet who questioned God (Habakkuk 1:2)"
HAGAR,"Egyptian maid who bore Ishmael (Genesis 16:1)"
HAGGAI,"Prophet urging temple rebuild (Haggai 1:4)"
HAM,"Noah's son who saw nakedness (Genesis 9:22)"
HAMAN,"Agagite who built gallows (Esther 3:1)"
HANNAH,"Mother who vowed Samuel (1 Samuel 1:11)"
HEBRON,"City of Abraham's burial (Genesis 23:19)"
HEROD,"King who killed Bethlehem babies (Matthew 2:16)"
HEZEKIAH,"King who prayed for shadow back (2 Kings 20:11)"
HIEL,"Rebuilt Jericho at cost of sons (1 Kings 16:34)"
HITTITE,"Canaanite nation of Uriah (2 Samuel 11:3)"
HOSEA,"Prophet commanded to marry prostitute (Hosea 1:2)"
ICHABOD,"Glory departed at birth (1 Samuel 4:21)"
IRAH,"Son of Shomer, one of Athaliah's killers (2 Kings 11:4 KJV spelling)"
ISAIAH,"Prophet who saw Lord high and lifted (Isaiah 6:1)"
ISHMAEL,"Son of promise cast out (Genesis 21:10)"
