answer,clue
ABEL,Second son of Adam and Eve who was murdered by his brother
ABIMELECH,King of Gerar who took Sarah into his harem
ABRAHAM,Patriarch who was called the father of many nations
ABSALOM,Son of David who rebelled against his father
ADAM,First man created by God in the Garden of Eden
AGAG,Amalekite king spared by Saul and killed by Samuel
AHAB,Wicked king of Israel married to Jezebel
AARON,Brother of Moses and first high priest of Israel
ABEDNEGO,Hebrew name of Azariah who was thrown into the fiery furnace
ABIATHAR,High priest during the time of David
ABIGAIL,Wife of Nabal who became one of David's wives
ABIMELECH,Son of Gideon who killed his seventy brothers
ABNER,Cousin of Saul and commander of his army
ABSALOM,David's son who was killed while hanging from a tree
ACHAN,Man who took forbidden items from Jericho and was stoned
ACHISH,Philistine king of Gath who gave David refuge
ADONIJAH,Son of David who tried to usurp the throne
AGAG,Amalekite king defeated by Saul
AHASUERUS,Persian king who married Esther
AHAZ,King of Judah who received the sign of Immanuel
AHIJAH,Prophet who foretold the division of the kingdom
AHITHOPHEL,David's counselor who joined Absalom's rebellion
AMALEK,Descendant of Esau who fought against Israel
AMNON,Son of David who violated his half-sister Tamar
AMOS,Prophet who was a shepherd from Tekoa
APHRAH,Beth-le-aphrah mentioned in Micah's prophecy
ASA,King of Judah who removed the queen mother Maacah
ASAHEL,Nephew of David who was killed by Abner
ASHURBANIPAL,Assyrian king who deported the Israelites
ATHALIAH,Daughter of Ahab who usurped the throne of Judah
AZARIAH,King of Judah also known as Uzziah
BALAAM,Prophet who was hired to curse Israel but blessed them instead
BALAK,Moabite king who hired Balaam to curse Israel
BARABBAS,Prisoner released instead of Jesus
BARNABAS,Companion of Paul on his first missionary journey
BARTHOLOMEW,One of the twelve apostles also called Nathanael
BATHSHEBA,Wife of Uriah who became David's queen
BELSHAZZAR,Babylonian king who saw the handwriting on the wall
BENHADAD,King of Syria who fought against Israel
BENJAMIN,Youngest son of Jacob and Rachel
BERNICE,Sister of King Agrippa who heard Paul's defense
BOAZ,Kinsman of Naomi who married Ruth
CAIN,First son of Adam and Eve who killed his brother
CALEB,Spy who believed Israel could conquer Canaan
CANDACE,Queen of Ethiopia whose treasurer was baptized by Philip
CEPHAS,Aramaic name meaning rock given to Peter
CHILION,Son of Naomi who died in Moab
CLEOPAS,Disciple who met Jesus on the road to Emmaus
CORNELIUS,Roman centurion who was the first Gentile convert
DANIEL,Prophet who was thrown into the lions' den
DARIUS,Persian king who threw Daniel into the lions' den
DAVID,Shepherd who became king of Israel and killed Goliath
DEBORAH,Prophetess and judge who defeated Sisera
DELILAH,Woman who betrayed Samson to the Philistines
DEMAS,Companion of Paul who forsook him
DINAH,Daughter of Jacob who was violated by Shechem
EBEDMELECH,Ethiopian who rescued Jeremiah from the cistern
EHUD,Left-handed judge who killed Eglon
ELI,High priest who raised Samuel
ELIAKIM,Official of Hezekiah who was rebuked by Isaiah
ELIEZER,Servant of Abraham who found Rebekah
ELIHU,Young man who spoke to Job and his friends
