answer,clue
JOHN,"Visionary on Patmos island (Revelation 1:9)"
PATMOS,"Island exile of apostle (Revelation 1:9)"
ASIA,"Region of seven churches (Revelation 1:4)"
LORD,"Alpha and Omega title (Revelation 1:8)"
ALPHA,"First Greek letter of Christ (Revelation 1:8)"
OMEGA,"Last Greek letter of Christ (Revelation 1:8)"
GRACE,"Salutation with peace (Revelation 1:4)"
PEACE,"From Father and Spirit (Revelation 1:4)"
SEVEN,"Spirits before throne (Revelation 1:4)"
THRONE,"God's heavenly seat (Revelation 4:2)"
ELDERS,"Twenty-four around throne (Revelation 4:4)"
LAMPSTANDS,"Seven golden in temple (Revelation 1:12)"
STARS,"Seven held in right hand (Revelation 1:16)"
EPHESUS,"Church leaving first love (Revelation 2:4)"
SMYRNA,"Poor but rich church (Revelation 2:9)"
PERGAMUM,"Seat of Satan church (Revelation 2:13)"
THYATIRA,"Tolerating Jezebel church (Revelation 2:20)"
SARDIS,"Dead but alive church (Revelation 3:1)"
PHILADELPHIA,"Open door church (Revelation 3:8)"
LAODICEA,"Lukewarm spewing church (Revelation 3:16)"
JEZEBEL,"Woman teaching immorality (Revelation 2:20)"
ANTIPAS,"Martyred faithful witness (Revelation 2:13)"
NICOLAITANS,"Deeds hated by Ephesus (Revelation 2:6)"
BALAAM,"Doctrine in Pergamum (Revelation 2:14)"
KEY,"Of David held by Christ (Revelation 3:7)"
DOOR,"Open no man shuts (Revelation 3:8)"
AMEN,"Faithful witness title (Revelation 3:14)"
BEGINNING,"Of creation of God (Revelation 3:14)"
SCROLL,"Sealed with seven seals (Revelation 5:1)"
LAMB,"Slain worthy to open (Revelation 5:9)"
WORTHY,"Only Lamb to take scroll (Revelation 5:12)"
HARPS,"Golden in elder hands (Revelation 5:8)"
VIALS,"Full of incense prayers (Revelation 5:8)"
INCENSE,"Odor of saints' prayers (Revelation 5:8)"
SILENCE,"In heaven half hour (Revelation 8:1)"
SEALS,"Seven on scroll opened (Revelation 6:1)"
HORSEMEN,"Four of apocalypse (Revelation 6:2)"
WHITE,"First horse conqueror (Revelation 6:2)"
RED,"Second horse taker of peace (Revelation 6:4)"
BLACK,"Third horse scales famine (Revelation 6:5)"
PALE,"Fourth horse death Hades (Revelation 6:8)"
MARTYRS,"Under altar crying (Revelation 6:9)"
SOULS,"Slain for word of God (Revelation 6:9)"
EARTHQUAKE,"Sixth seal sign (Revelation 6:12)"
MOON,"Blood in sixth seal (Revelation 6:12)"
SUN,"Black as sackcloth (Revelation 6:12)"
STARS,"Fall like figs (Revelation 6:13)"
SKY,"Rolled as scroll (Revelation 6:14)"
GREATDAY,"Wrath of Lamb coming (Revelation 6:17)"
144000,"Sealed from tribes (Revelation 7:4)"
PALM,"Branches in martyr hands (Revelation 7:9)"
ROBES,"White washed in Lamb blood (Revelation 7:14)"
TRUMPETS,"Seven angels sound (Revelation 8:2)"
HAIL,"Fire mixed with blood (Revelation 8:7)"
MOUNTAIN,"Burning cast to sea (Revelation 8:8)"
WORMWOOD,"Star bitters waters (Revelation 8:11)"
EAGLE,"Woe woe woe flying (Revelation 8:13)"
LOCUSTS,"From abyss torment (Revelation 9:3)"
ABADDON,"Angel king of locusts (Revelation 9:11)"
APOLLYON,"Destroyer Greek name (Revelation 9:11)"
ARMY,"Two hundred million (Revelation 9:16)"
EUPHRATES,"River angel bound (Revelation 9:14)"
JEALOUSY,"Tenth part city falls (Revelation 11:13)"
WITNESSES,"Two prophesy 1260 days (Revelation 11:3)"
OLIVE,"Trees of witnesses (Revelation 11:4)"
CANDLES,"Lampstands of witnesses (Revelation 11:4)"
BEAST,"From abyss kills witnesses (Revelation 11:7)"
BREATH,"Of life from God revives (Revelation 11:11)"
TEMPLE,"Measured but court not (Revelation 11:1)"
ARK,"Seen in temple heaven (Revelation 11:19)"
WOMAN,"Clothed with sun moon stars (Revelation 12:1)"
DRAGON,"Seven heads ten horns (Revelation 12:3)"
MICHAEL,"Fought dragon cast out (Revelation 12:7)"
TAIL,"Swept third stars (Revelation 12:4)"
